,precision,recall,f1,preds,labels
0,30.117,25.293,27.057,"model: flan-t5-small, learning_rate: 3e-05, num_train_epochs: 20, weight_decay: 0.001, per_device_train_batch_size: 4, gradient_accumulation_steps: 4","Q: Given the following restaurant review, list what is atypical in the restaurant. Separate them using comma.
A bit of self care and indulgence for when you want to relax and de-stress and if you don't want to go to the bar but have another option. Relax and enjoy. There's a lounge area behind. So you can take your drink in the lounge and kick back. Caffeinated choices are available. If you like your tastebuds teased in a different way, this is a treat. Perfect for yogis and if you like incense. (there's no incense, but it may remind you ...). Can be a spiritual experience as there are symbolism and custom associations provided if you want to try them. Just ask the very knowledgeable Server.It is what you make it. Whatever style makes you comfortable.You have to go inside the West Market to find it! Do not miss.
A: "
1,0,0,0,"['a snobby snobby', 'a sluggish, sluggish, and slugg', 'a snobby snobby', 'a small menu but good food', 'Gluten free', 'a sexy atmosphere', 'a little Caribbean oasis', 'a burger', 'a burger and fries', 'a little small', 'food']","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,0,0,0,"['shoes', 'food', 'lack of toilet paper', 'food', 'Service', 'Service', 'food', 'Service', 'food', 'view', 'Pizza']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'None', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,0,0,0,"['cleanliness', 'food', 'Spiritual medium', 'food', 'food', 'food', 'personality', 'Parking', 'good food, good service, good food', 'food', 'food']","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,9.52,11.11,10.26,"['food, service, cleanliness, cleanliness, cleanliness, cleanliness, cleanliness, cleanliness, cleanliness, cleanliness', 'Pop Shop', 'balance', 'lack of crawfish', 'Features, Habitat, Habitat, Habitat, Habitat, Habitat, Habitat', 'outdoor cat petting zoo', 'Dining area, stage area, stage area, stage area, toilet/tub/shower,', 'Photo booth, photo booth, Penns Landing fireworks', 'food', 'taste, texture, texture, texture, texture, texture, texture, texture, texture, texture', 'complimentary chips and salsa']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,12.9,14.81,13.79,"['Hookah flavors, hookahs, event, QuizO, event, ', 'Dining, lighting fixutres, seating, decor,', 'Outstanding deli, homemade chocolate ice cream, homemade brownies, Goofy and fun', 'quality, taste, presentation, presentation, half-empty glass', 'None', 'outdoor, canoeing, kayaking, sunny fish, deck, canoeing', 'gambling, bartending skills, club, kitchen, club, kitchen, club, kitchen,', 'complimentary bread, olive oil, herbs, audiobook, bathroom', 'short line, long line, long line, long line, long line, long line, long', 'photo', 'None']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,36.36,28.57,32.0,"['None', 'free wifi, free wifi, free wifi, ample parking, free wifi, ample parking, garden', 'None', 'None', 'long line, long line, management, signage, signs, Disneyland, sign, sign, sign', 'Virtual golf, zombie dodgeball, game, zombie dodgeball, game, zombie dodgeball,', 'None', 'None', 'None', 'None', 'Local wildlife, local wildlife, black chalkboard paint, black chalkboard paint, black chalkboard']","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,66.67,34.15,45.16,"['free comic, Cuban sandwich, fire sticks, fire sticks', 'None', 'None', 'None', 'None', 'Live music, lounge area, fishies, live music, lounge area, fishies, live', 'cute indoor store, beautiful pots, candles, terrariums', 'None', 'None', 'tour, red wine collection, cellar room, private party, electric chandeliers, each worth $10,000', 'None']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,52.38,50.0,51.16,"['None', 'therapeutic sketching, Kobe Beef Burger, sweet potato fries, curry ketchup', 'Good Burger Car, souvenir T-shirts, hats, souvenir T-shirts, ', 'None', 'tour de bier, history lesson, blue ribbon tasting experience, history lesson, brewery, brewery', 'None', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic, Liquid Laughs', 'None', 'None', 'None']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,58.82,47.62,52.63,"['None', 'None', 'lime green counter, polaroids, wall, polaroids, cash only policy', 'None', 'bookstore/gift shop', 'None', 'None', 'airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz', 'outreach program, meal sponsorship program', 'open ""regular"" tables, RAT, rat, scamper']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
