,precision,recall,f1,preds,labels
0,43.257,38.861,39.951,"model: flan-t5-small, learning_rate: 3e-05, num_train_epochs: 30, weight_decay: 0.001, per_device_train_batch_size: 4, gradient_accumulation_steps: 4","Q: Given the following restaurant review, list what is atypical in the restaurant. Separate them using comma.
A bit of self care and indulgence for when you want to relax and de-stress and if you don't want to go to the bar but have another option. Relax and enjoy. There's a lounge area behind. So you can take your drink in the lounge and kick back. Caffeinated choices are available. If you like your tastebuds teased in a different way, this is a treat. Perfect for yogis and if you like incense. (there's no incense, but it may remind you ...). Can be a spiritual experience as there are symbolism and custom associations provided if you want to try them. Just ask the very knowledgeable Server.It is what you make it. Whatever style makes you comfortable.You have to go inside the West Market to find it! Do not miss.
A: "
1,0,0,0,"['a snobby snobby', 'coffee shop', 'food', 'food', 'Gluten free', 'a little bit of self care', 'a little Caribbean oasis', 'a burger', 'a burger and fries', 'food', 'food']","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,0,0,0,"['shoes', 'food', 'lack of toilet paper', 'Service', 'Service', 'Service', 'food', 'Service', 'food, service, atmosphere, atmosphere, atmosphere, atmosphere, atmosphere, atmosphere, atmosphere, atmosphere', 'view', 'food']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'None', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,5.0,8.33,6.25,"['cleanliness', 'mini trampoline', 'Spiritual medium', ""Children's menu, nigiri, dragon balls, jalapeo"", 'integrity, honesty, integrity, integrity, integrity, integrity, integrity, integrity, integrity, integrity', 'Dining, Group, Party, Tables, Staff, Group, Tables, Tables,', 'compatibility, zodiac, zodiac, zodiac, zodiac,', 'VIP area, VIP area, VIP area, VIP area, VIP area, bouncers,', 'great fish tacos & carné asada tacos', 'Frühstück, Service, Staff, Location, Location, Location, Location, Location, Location, Location', 'complimentary']","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,43.48,55.56,48.78,"['miso soup, miso soup, miso soup, miso soup, miso soup', 'balloon puppets, animals, balloon puppets, animals, big menu', 'None', 'None', 'None', 'Indoor cat petting zoo, cat cafe, entrance fee, coffee, tea,', 'board games, stage area, small concerts, stage area, stage area, small concerts, stage', 'photo booth, Penns Landing fireworks', 'video', 'taste, taste, size, texture, texture, texture, texture, texture, texture, texture', 'complimentary chips and salsa, complimentary dessert churros, complimentary dessert churros,']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,33.33,18.52,23.81,"['None', 'None', 'None', 'None', 'None', 'canoeing, kayaking, sunny fish, deck', 'None', 'audiobook, audiobook, bathroom', 'long line, pancakes, toasted bread, everting, long line', 'None', 'guidebook, guidebook, Italy tourist spots, guidebook, guidebook, guidebook,']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,68.18,53.57,60.0,"['None', 'free wifi, gardener, bags of coffee grounds', 'boaters, dock, stuffed flounder, stuffed flounder, fried cheesecake', 'None', 'Disneyland, sign', 'Virtual golf, games, zombie dodgeball, games, zombie dodgeball', 'None', 'pokestops, cemetery', 'None', 'None', 'Local wildlife, local wildlife, local wildlife, black chalkboard paint']","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,90.91,48.78,63.49,"['free comic, free comic', 'None', 'special event, Circus type thing, Carnival, live music', 'None', 'None', 'Live music, lounge area, fishies', 'beautiful pots, candles, terrariums', 'None', 'music venue, music venue, music venue', 'tour, red wine collection, cellar room, wine bottles', 'henna artist, tattoos']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,50.0,59.09,54.17,"['None', 'great therapeutic sketching, Kobe Beef Burger, sweet potato fries, curry ketch', 'Good Burger Car, souvenir T-shirts, hats, HI AF', 'Mug Club Membership, lifetime membership, lifetime membership', 'tour de bier, history lesson, blue ribbon tasting experience, great sleeping experience, business contacts', 'garden, art, gift shop', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos, collectibles', 'None', 'Sport, sport, sport, sports, sport, ServSafe instructor']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,75.0,71.43,73.17,"['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership', 'awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz', 'outreach program, meal sponsorship program', 'None']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
