,classification,bleu,rouge1,rouge2,rouge3,rouge4,rougeL,rougeLsum,bertscore_avg_p,bertscore_avg_r,bertscore_avg_f1,p_clusters,r_clusters,f1_clusters,new_golds,preds,labels,train_nc_list
0,"micro avg: {'core_recall': 0.0, 'noncore_neg_recall': 0.22}","macro avg: 0.61 
 micro avg: 0.61","macro avg: 0.7 
 micro avg: {'precision': 0.5977728285077951, 'recall': 0.8686084142394822, 'f1': 0.7081794195250659}","macro avg: 0.68 
 micro avg: {'precision': 0.5782792665726375, 'recall': 0.8471074380165289, 'f1': 0.6873428331936294}","macro avg: 0.67 
 micro avg: {'precision': 0.5639621702339472, 'recall': 0.833701250919794, 'f1': 0.6728028503562945}","macro avg: 0.66 
 micro avg: {'precision': 0.5515600211528292, 'recall': 0.8238546603475514, 'f1': 0.6607538802660754}","macro avg: 0.64 
 micro avg: 0.64","macro avg: 0.64 
 micro avg: 0.64","macro avg: 0.69 
 micro avg: 0.69","macro avg: 0.72 
 micro avg: 0.72","macro avg: 0.7 
 micro avg: 0.7",0.0,0.0,0.0,,"model: flan-t5-xl
learning_rate: 9e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",,
1,"{'core_recall': 0.0, 'noncore_neg_recall': 0.17}",0.77,0.86875,0.8523489932885907,0.8405797101449275,0.8346456692913387,0.79,0.8,0.8,0.82,0.81,0.0,0.0,0.0,None,"['The restaurant has a karaoke venue with private rooms.', 'The restaurant has a playroom for kids.', 'The sushi chef once did a puppet show for customers sitting at the counter.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery. The tour includes a sophisticated journey through the process of winemaking and beer brewing.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant had a balloon sculpture and a face painter for their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.', 'The restaurant has a giant Jenga game.']","['The restaurant has a karaoke venue with private rooms.', 'The restaurant has a nice playroom for the kids.', 'The sushi chef once did a puppet show for customers sitting at the counter.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.', '', '', 'The restaurant had a balloon sculpture and a face painter for their grand opening.', 'Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.', 'The restaurant has a giant Jenga game.']",
2,"{'core_recall': 0.0, 'noncore_neg_recall': 0.25}",0.43,0.5393258426966293,0.4955223880597015,0.4713375796178344,0.44368600682593856,0.52,0.53,0.61,0.64,0.62,0.0,0.0,0.0,None,"['The restaurant has a different crowd upstairs, more of a punk, Lady Gaga type crowd.', 'The restaurant has two dance floors. The restaurant has a photo booth.', 'The restaurant is part of a program to assist women who are exiting sex trafficking. The boutique sells clothing and accessories for ladies.', 'The restaurant has an old-school cassette tape ghetto-blaster sitting on a chair. The restaurant has an old nine-inch T.V. with faded colour or a garish Christmas tree that lost its festive mojo back in the summer of 1989.', 'The restaurant is located in Ybor City, which is a place that recreates a little Cuba in the Tampa area. The restaurant is surrounded by cigar shops and variety of restaurants that mainly focus on Cajun, American or Italian cuisine.', 'The restaurant has a piano room.', 'The restaurant has a nightclub on Saturday nights. The nightclub has a VIP area with an elevated room and a small window to order drinks like a drive-thru.', 'The restaurant has a little shop/deli that sells sweets and other items.', 'The restaurant has a video tutorial on how to eat or order.', ""The restaurant's pizza can be delivered through Uber Eats."", 'The restaurant has a playground in the adjoining park.', 'The restaurant allows group meetings on the 2nd floor for yoga and meditation groups. The restaurant has long wooden coffee stirrers.']","['The restaurant has porn playing through a projector upstairs.', 'The restaurant has two dance floors. The restaurant has a photo booth. The restaurant has a great view of the Penns Landing fireworks.', 'The restaurant is part of a program to assist women who are exiting sex trafficking. The boutique sells clothing and accessories for ladies.', 'The restaurant has a garden of sunflowers.', '', 'The restaurant has a piano room.', 'The restaurant has a nightclub on Saturday nights.', '', 'The restaurant has a video tutorial on how to eat or order.', '', 'The restaurant is located near Goose Creek Park. The restaurant has a playground in the adjoining park.', 'The restaurant allows group meetings on the 2nd floor for yoga and meditation groups. The restaurant is pet-friendly.']",
3,"{'core_recall': 0.0, 'noncore_neg_recall': 0.5}",0.46,0.581081081081081,0.5683453237410072,0.5615384615384615,0.5537190082644629,0.41,0.41,0.44,0.46,0.45,0.0,0.0,0.0,None,"['The co-owner of the restaurant owns a skating company.', 'The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person.', 'The restaurant has a sister restaurant next door with a lively fun band.', 'The restaurant gave away free calendars with zodiac symbols.', 'The restaurant has Deaf-friendly service.', 'The restaurant staff dances every 10 minutes. The restaurant staff does the macarena and cotton eye joe dance. The restaurant staff does a Lady Gaga song and poker face dance.', ""Customers can order by texting the owner's cell phone."", 'The restaurant has the car from the movie Good Burger. The restaurant has an alien spaceship from Toy Story with a laser on it adorned the top of the place along with a cow.', 'The restaurant is BYOB (Bring Your Own Beverage).', 'The restaurant is located inside a Tesla dealership. The restaurant has a self-serve cafeteria setting.', 'The restaurant has a gift shop.', 'The restaurant offers canoeing and kayaking. Customers can feed the sunny fish off the deck.']","['', 'The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person. The restaurant has live bands playing.', '', 'The restaurant gave away free calendars with zodiac symbols.', '', '', '', 'The restaurant has the car from the movie Good Burger. The restaurant sells souvenir T-shirts and hats heavily influenced by the movie Good Burger.', '', 'The restaurant is located inside a Tesla dealership.', 'The restaurant has a gift shop.', 'The restaurant offers canoeing and kayaking. Customers can feed the sunny fish off the deck.']",
4,"{'core_recall': 0.0, 'noncore_neg_recall': 0.08}",0.58,0.6857142857142857,0.6638115631691649,0.6396396396396397,0.6175771971496437,0.71,0.72,0.79,0.85,0.81,0.0,0.0,0.0,None,"['The restaurant offers a Mug Club Membership that includes a personalized mug with the name of your choice and discounted beer prices for domestic and imported beers.', 'The restaurant claims to have the largest wine selection in the world. The restaurant offers a tour of the wine cellar. The restaurant has a dessert room with cozy tables nestled inside converted wine casks. The restaurant offers a ""Best Sundae in the World"" with homemade macadamia nut ice cream created from a recipe that took 7 years to perfect.', 'The restaurant has a regular belly dancer indoors.', 'The coffee shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership"".', 'The restaurant has a ""parakeet paradise"" outside of the side window.', 'The restaurant sells lottery tickets/scratchers. The restaurant sells boba along with danishes, egg sandwiches, croissants, and other pastries.', 'The restaurant is more of an indoor cat petting zoo than a cat cafe. The restaurant charges an entrance fee to support the cats. The restaurant has side cubicles for guests to place their belongings away from the cats.', 'The restaurant has a piano bar with professional musicians.', 'The restaurant brought in a henna tattoo artist and a fortune teller for the holiday. Bollywood movies are projected on the brick.', 'The restaurant has an outdoor patio with tables where peacocks come out of the park woods and walk right up to the outdoor area.', 'The restaurant has a professional babysitting service. The restaurant has a section where customers can take their kids. The restaurant provides diapers of different sizes for customers who forgot theirs.', 'The restaurant has a coffee bar. The restaurant has a tea lounge. The restaurant has a bookstore/gift shop at either entrance.']","['', 'The restaurant offers a tour of the wine cellar.', 'The restaurant has a regular belly dancer indoors.', 'The coffee shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership"".', 'The restaurant has a ""parakeet paradise"" outside of the side window.', 'The restaurant sells lottery tickets/scratchers.', 'The restaurant is more of an indoor cat petting zoo than a cat cafe. The restaurant charges an entrance fee to support the cats. The cats at the restaurant are available for adoption through the Stray Cat Alliance.', 'The restaurant has a piano bar with professional musicians.', 'The restaurant brought in a henna tattoo artist and a fortune teller for the holiday. Bollywood movies are projected on the brick.', 'The restaurant has an outdoor patio with tables where peacocks come out of the park woods and walk right up to the outdoor area. The restaurant is located near a long public dock with benches to comfortably sit on and watch the sunset.', 'The restaurant has a professional babysitting service. The restaurant provides diapers of different sizes for customers who forgot theirs.', 'The restaurant has a bookstore/gift shop at either entrances.']",
5,"{'core_recall': 0.0, 'noncore_neg_recall': 0.0}",0.72,0.7507002801120448,0.7305389221556886,0.7138263665594856,0.7083333333333334,0.71,0.7,0.8,0.81,0.81,0.0,0.0,0.0,None,"['The restaurant has a glass room for events such as weddings. The restaurant has cabanas that can be rented for events.', 'The restaurant has virtual golf and games like zombie dodgeball.', 'The restaurant hosts live music performances. The restaurant has a parking lot across the street.', 'The restaurant is located across from a cemetery. The restaurant is a Pokestop and has many Pokestops around it.', 'The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games.', 'The restaurant offers film nights and art exhibits/events.', ""The restaurant provides bags of coffee grounds for customers' compost if they are gardeners."", 'The restaurant has a collection of Indy 500 photos and collectibles inside, making it like a mini museum adventure.', 'The restaurant has a view of the water where customers can see a manatee.', 'The restaurant has good acoustics and acceptable noise level even when busy.', 'The restaurant has a nice patio with great bird watching with the seasons.', '']","['The restaurant hosts drag shows on certain nights of the week.', 'The restaurant has virtual golf and games like zombie dodgeball.', 'The restaurant hosts live music performances.', 'The restaurant is located across from a cemetery. The restaurant is a Pokestop and has many Pokestops around it.', 'The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games.', 'The restaurant offers film nights and art exhibits/events. The restaurant used to have Latte Art Offs where customers could compete to show off their Latte Art skills.', ""The restaurant provides bags of coffee grounds for customers' compost if they are gardeners."", 'The restaurant has a collection of Indy 500 photos and collectibles inside, making it like a mini museum adventure.', 'The restaurant has a view of the water where customers can see a manatee.', 'The restaurant is located near a golf course.', 'The restaurant has a nice patio with great bird watching with the seasons.', 'Each table has a guidebook of Italy tourist spots, so customers can check things out while browsing the menu.']",
6,"{'core_recall': 0.0, 'noncore_neg_recall': 0.17}",0.73,0.7846607669616519,0.750788643533123,0.7389830508474576,0.7326007326007326,0.76,0.76,0.8,0.8,0.8,0.0,0.0,0.0,None,"['The restaurant has a wine gift shop in the lobby with confections for sale.', 'The restaurant has watercolors of the Philly area, done by a local artist, on the walls that are for sale.', 'The restaurant is the only storefront business on Market east of City Market.', 'The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant.', 'The restaurant takes a polaroid of customers for special occasions and adds it to their wall.', 'The restaurant offers a dole doughsant, which is a cross between a doughnut and a croissant.', 'The restaurant hosts cider and yoga events. The restaurant had a henna artist doing tattoos.', 'The restaurant has a petting zoo with a rooster, a goat, several pigs, and a piglet.', 'The restaurant offers a tour of the estate, including the red wine collection and the cellar room that can host a private party surrounded by their extensive collection of wine bottles.', 'The restaurant has live music. The restaurant has painters painting portraits in the front entrance patio.', 'The restaurant hosts an open mic night for local artists.', 'The restaurant has a bowling alley with vintage equipment.']","['The restaurant has a wine gift shop in the lobby with confections for sale.', 'The restaurant has watercolors of the Philly area, done by a local artist, on the walls that are for sale.', '', 'The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant.', 'The restaurant takes a polaroid of customers for special occasions and adds it to their wall.', '', 'The restaurant hosts cider and yoga events. The restaurant had a henna artist doing tattoos.', 'The restaurant has a petting zoo with a rooster, a goat, several pigs, and a piglet.', 'The restaurant has an adjacent garden, belonging to the house where Ella Brennan still resides, and which is tended to by a full-time gardener.', 'The restaurant has live music. The restaurant has painters painting portraits in the front entrance patio.', 'The restaurant hosts an open mic night for local artists.', 'The restaurant has a bowling alley with vintage equipment.']",
7,"{'core_recall': 0.0, 'noncore_neg_recall': 0.5}",0.48,0.6285714285714286,0.6259541984732825,0.6229508196721312,0.6194690265486726,0.45,0.44,0.46,0.49,0.47,0.0,0.0,0.0,None,"['The restaurant offers salsa, bachata, merengue, cha cha cha dance lessons for beginners to advanced dancers.', 'The restaurant is inside an Asian market. The restaurant is family owned and operated.', 'The restaurant uses a ticket machine to manage the crowd.', 'The restaurant has a strictly enforced footwear policy for males only.', 'The restaurant has outdoor open space.', ""The restaurant serves half rolls upon request. The restaurant has a children's menu with chicken jerky that was thinly sliced and almost inedible."", 'The restaurant has a huge area of plants for sale behind it. The restaurant has an indoor store with beautiful pots, candles, terrariums, etc.', 'The restaurant offers hypnosis shows, drag shows, karaoke nights, and QuizO as entertainment.', ""The restaurant hosts an annual Valentine's Date Night with a caricature artist and piano player playing soft music. The restaurant offers in-house made chocolate covered strawberries."", ""The restaurant has exceptional customer service. The restaurant owners genuinely care about their customers' well-being and experience."", 'The restaurant has a stage area for small concerts.', 'The restaurant offers a discount based on the temperature when the order is placed (Freezing your Bill off deal).']","['The restaurant offers salsa, bachata, merengue, cha cha cha dance lessons for beginners to advanced dancers.', 'The restaurant is inside an Asian market.', '', '', '', '', 'The restaurant has a huge area of plants for sale behind it. The restaurant has an indoor store with beautiful pots, candles, terrariums, etc.', 'The restaurant offers hypnosis shows, drag shows, karaoke nights, and QuizO as entertainment.', ""The restaurant hosts an annual Valentine's Date Night with a caricature artist and piano player playing soft music."", '', 'The restaurant has a stage area for small concerts.', '']",
8,"{'core_recall': 0.0, 'noncore_neg_recall': 0.25}",0.66,0.7939262472885034,0.7909090909090909,0.7875894988066825,0.7839195979899497,0.7,0.7,0.71,0.74,0.72,0.0,0.0,0.0,None,"['The restaurant has a small attached nursery where customers can buy starter plants and bigger plants. The restaurant sells unique gifts.', 'The restaurant has a balloon artist named ""Mark the Balloon Guy"" who creates unique and entertaining balloon hats for kids on weekends. The restaurant has stuffed animal/puppets for sale at the front. The restaurant has an interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant.', 'The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.', 'The restaurant has Star Wars memorabilia dressed with random costumes and items, including Yoda riding a unicorn. The restaurant offers Great Raft brewery, which is one of the great microbrews in the state of Louisiana.', 'The restaurant is a spot where you can see local wildlife. The restaurant is a place where people with different interests and backgrounds hang out, such as moms, anarchists, hackers, organic gardeners, and activists.', 'The restaurant has a mini trampoline that is perfect for energetic children.', 'The restaurant hosts donation yoga classes.', 'The restaurant hosts live music performances with pop/electric/rap one-man singers. The performers sing sex songs using the f-word every other sentence.', 'The owner of the restaurant becomes obnoxious after drinking.', 'The restaurant has an outreach program to help at-risk youth by providing training. The restaurant has a meal sponsorship program to support students.', 'The restaurant offers a tour de bier and history lesson with the brewmaster. The restaurant has a culturally amazing German experience on the cusp of Oktoberfest.', 'The restaurant has ""bowl artisans"" who make the food.']","['The restaurant has a small attached nursery where customers can buy starter plants and bigger plants. The restaurant sells unique gifts.', 'The restaurant has a balloon artist named ""Mark the Balloon Guy"" who creates unique and entertaining balloon hats for kids on weekends. The restaurant has stuffed animal/puppets for sale at the front.', 'The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.', '', 'The restaurant is a spot where you can see local wildlife. The restaurant is a place where people with different interests and backgrounds hang out, such as moms, anarchists, hackers, organic gardeners, and activists.', 'The restaurant has a mini trampoline that is perfect for energetic children.', 'The restaurant hosts donation yoga classes.', 'The restaurant hosts live music performances with pop/electric/rap one-man singers.', '', 'The restaurant has an outreach program to help at-risk youth by providing training. The restaurant has a meal sponsorship program to support students.', 'The restaurant offers a tour de bier and history lesson with the brewmaster. The restaurant has a culturally amazing German experience on the cusp of Oktoberfest.', '']",
9,"{'core_recall': 0.0, 'noncore_neg_recall': 0.17}",0.51,0.6547085201793722,0.6320754716981132,0.6169154228855721,0.6,0.6,0.6,0.66,0.74,0.7,0.0,0.0,0.0,None,"['The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and sells their paintings.', 'The restaurant features hundreds of caricatures of local celebs and regular diners. The restaurant is also a music venue with live music at least three days out of the week.', 'The restaurant has an audiobook teaching Italian in the bathroom.', 'The restaurant celebrates summertime braai, a South African take on BBQ or grilling. The restaurant has a three-legged cast iron potjie for making stew the correct South African campfire way.', 'The restaurant has a capoeira/zumba studio in the back.', 'The restaurant had a rat scamper across the floor into the bar area.', ""The restaurant has several big plants, including an avocado tree and a beautiful orange tree. The women's restroom has large birch branches in it."", 'The restaurant is located on Speedway Main St. which has a brewery, a bourbon & BBQ bar, a go-kart bar that pays tribute to the first race, a taco bar, and another brewery on the corner of Tenth and Main.', 'The restaurant has a little grocery store. The grocery store sells spices and cans of stuffed grape leaves.', 'The restaurant hosted a DJ who played a mix of Bossa Nova and House Music.', 'The restaurant has an on-site medium to contact your ancestors and read your cards to awaken your spirituality. The restaurant has an apothecary area where they assemble their medicinal teas and perform their spiritual readings.', 'The restaurant is located near a caricature man by the escalators in a casino. The restaurant has an outdoor area open to the people and casino part.']","['The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and sells their paintings.', 'The restaurant is also a music venue with live music at least three days out of the week.', 'The restaurant has an audiobook teaching Italian in the bathroom.', 'The restaurant has internet.', 'The restaurant has a capoiera/zumba studio in the back.', '', 'The front windows are plastered with local upcoming events and business advertisements.', '', 'The restaurant has a little grocery store.', 'The restaurant hosted a DJ who played a mix of Bossa Nova and House Music.', 'The restaurant has an on-site medium to contact your ancestors and read your cards to awaken your spirituality. The restaurant has an apothecary area where they assemble their medicinal teas and perform their spiritual readings.', 'The restaurant has an outdoor area open to the people and casino part.']",
