,bleu,preds,labels
0,0.4148496159764341,"model: flan-t5-xl
learning_rate: 9e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",
1,0.09988406749509646,"['The food was good, the service was good, the karaoke was good, the bathrooms were good, the karaoke was good, the karaoke was good, the bathrooms were good, the karaoke was good, the bathrooms were good, the karaoke was good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the', 'The restaurant has a playroom for kids.', 'The sushi chef once did a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery. The tour includes a sophisticated journey through the process of winemaking and beer brewing. The tour includes behind the scenes access to the production of red wines, white wines, and beers. The tour guide is knowledgeable about Santa Barbara and Southern California and provides tips for dining and travel.', 'The restaurant provides shawls to customers who are cold.', 'The Philly Community Acupuncture is located in the same building as Philly Community Restaurant.', 'The restaurant had a balloon sculpture and a face painter for their grand opening. The restaurant offered free lunch to each patron during their grand opening.', 'The restaurant is mostly outdoors, with boaters coming right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The West Market is a great place to go for a spiritual experience. The restaurant is located inside the West Market and offers symbolism and custom associations.', 'The food is good, the service is good, the atmosphere is good, the prices are good, and the kids are cute.', 'The Paint Your Own Ceramics is a fun and creative place to visit. You can paint your own ceramics and take them home to decorate. The restaurant offers coffee, desserts, and smoothies.', 'The food is good, the service is good, and the atmosphere is good. The only thing that is not good is the music. It is too loud and the music is too loud.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
2,0.4405804698974904,"['The restaurant has a language barrier problem with staff. The restaurant has a dead microphone that was not replaced.', 'The restaurant has a playroom for kids.', 'Sushi and Sushi Bar is a sushi bar that offers a variety of sushi and sushi rolls.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant offered free lunch to each patron during their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided. The restaurant is located inside the West Market.', 'The restaurant has a painter who has his studio in the back and art on the walls. The restaurant has cute little children that hang out and their laughter sounds like little angels raining down from the heavens.', 'The restaurant is a paint your own ceramic shop. The restaurant offers coffee desserts and smoothies.', 'The restaurant plays loud top 40 music from a jukebox.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
3,0.48633131606084357,"['The restaurant has a language barrier problem with staff. The restaurant has a dead microphone that was not replaced.', 'The restaurant has a playroom for kids.', 'Sushi chef does a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant had a balloon sculpture and a face painter for their grand opening. The restaurant offered free lunch to each patron during their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided. The restaurant is located inside the West Market.', 'The restaurant has a painter who has his studio in the back and art on the walls. The restaurant has cute little children that hang out and their laughter sounds like little angels raining down from the heavens.', 'The restaurant is a paint your own ceramic shop. The restaurant offers coffee desserts and smoothies.', 'The restaurant plays loud top 40 music from a jukebox.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
4,0.09366475580285887,"['instanţ instanţoyez instanţ instanţ instanţoyez instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs visiteurs renseignements visiteurs renseignements visiteurs précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses précieuses', '', 'instanţ.com offers a unique dining experience with themed nights, themed menus, themed rooms, themed desserts, themed wait staff and themed rooms.', 'instanţoffers aGrapes and Hops"" tour that includes visits to wineries and a brewery.', 'instanţ instanţ LLC is a restaurant providing shawls to customers who are cold.', '', '', 'instanţ LLC is a restaurant that is mostly outdoors. boaters can come right up to dock at the restaurant. customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'locates inside the West Market', 'instanţ instanţ LLC, a restaurant, has a painter who has his studio in the back and art on the walls.', '', 'instanţ.com features inexpensive prices and delivers throughout the day.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
5,0.0,"['', '', '', '', '', '', '', '', '', '', '', '']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
6,0.0,"['', '', '', '', '', '', '', '', '', '', '', '']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
7,0.7964037520747583,"['The restaurant has a karaoke venue with private rooms.', 'The restaurant has a playroom for kids.', '', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.', '', '', 'The restaurant had a balloon sculpture and a face painter for their grand opening.', 'Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant offers coffee desserts and smoothies.', 'The restaurant has a giant Jenga game.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
8,0.6797461924068104,"['The restaurant has a karaoke venue with private rooms.', 'The restaurant has a playroom for kids.', 'The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant had a balloon sculpture and a face painter for their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant offers coffee desserts and smoothies.', 'The restaurant has a giant Jenga game. The restaurant plays loud top 40 music from a jukebox.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
9,0.7311173277559173,"['The restaurant has a karaoke venue with private rooms.', 'The restaurant has a playroom for kids.', 'The sushi chef once did a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant had a balloon sculpture and a face painter for their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.', 'The restaurant has a giant Jenga game. The restaurant plays loud top 40 music from a jukebox.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
