,precision,recall,f1,preds,labels
0,13.875,6.325,8.555,"model: flan-t5-small
learning_rate: 3e-05
num_train_epochs: 20.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",
1,4.35,3.7,4.0,"['Definitely a place to go for a quick bite.', 'The coffee shop is a great place to go for a quick bite.', 'Definitely worth the trip.', 'The food was good but the service was slow.', ""i'm not a fan of gluten free restaurants"", '- a bit of self care and indulgence for when you want to relax and de', 'The sand sculptures are amazing. The sand sculptures are amazing. The', 'Definitely worth the price.', 'Definitely a great spot for a beer festival.', 'The food is good but the portions are small.', 'The food was good but the service was slow.']","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,0,0,0,"['Komfort & Komfort', 'The music was great!', ""Gee, I'm not even sure what the hype is about. I'm not"", 'Nikon DX-100 - a snarky snarky', 'Geese!', 'The food was great!', 'The food was great.', 'Geete, a sexy, sexy, s', 'Photo: - - - - - - - - ', 'Peaks and peaks of the sea', 'Jockamo']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'river walk', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,0,0,0,"['a great experience', 'food', '--the-world--the-world--the-world--the', ""--I'm not a fan of the food..."", ""--I'm sitting in here freezing and the waiter literally came and brought me"", ""--the best food I've ever had!"", ""--I'm not a fan of sushi"", '--the--the--the--the--the--the', ""--I'm a big fan of the snobbits"", 'a great experience', ""--I'm a big fan of the AYCE!""]","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,0,0,0,"['-wise, this place is amazing!', '-wise', '-wise, this place is worth it', 'NSFW', 'VIEWERS:SPOINTS:SPOINTS:SPOINTS:', '-friendly', '-wise', '-shaped, spacious, and spacious', 'NES', 'NS', '-wise, Besito is awesome!']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,0,0,0,"['Experienced, knowledgeable staff', 'cookie', 'Outstanding deli.', 'Broken glass', 's', 'Flexibility, flexibility, flexibility', 'spot', 'avant gardeavant gardeavant gardeavant gardeavant gardeavant gardeavant', '', 'spot', 'pairing']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,7.14,3.57,4.76,"['Whatever.Anyhow, the place has a pretty ambiance and the service has always been', 'complementary coffee', 'None', 'seasonal fruits and veggies', 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA', 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA', ""Subway this isn't, and that is a good thing."", 'AAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH', 'None', 'AAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH', 'Broken cups']","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,27.27,7.32,11.54,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,36.36,18.18,24.24,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,45.45,23.81,31.25,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
