,precision,recall,f1,preds,labels
0,77.126,73.93,74.576,"model: flan-t5-large, learning_rate: 3e-05, num_train_epochs: 30, weight_decay: 0.001, per_device_train_batch_size: 2, gradient_accumulation_steps: 8",
1,20.69,22.22,21.43,"['awesome, friendly, staff, awesome, friendly, staff, AMAZING, food, amazing, menu', 'customizable sportswear, greeting cards, sportswear, sportswear, greeting cards, personalized sportswear', 'exceptional service and promptness', 'good food, but very cramped, small menu, small menu, paddle cruise, paddle', 'biscuits, biscuits, biscuits, biscuits, biscuits, biscuits, biscuit', 'meditation', 'inviting sand sculpture, outdoor patio, beach volleyball, badminton, game room', 'crush cut fries', 'atmosphere, fireworks, fireworks, fireworks, fireworks, fireworks, fireworks, fireworks, fireworks, fireworks', 'Kid friendly, babysitting service, diapers, diapers, healthy option, kid', 'mozzarella sticks mozzarella sticks mozzarella sticks mozzarella sticks mozzarella sticks mozzarella sticks mozzarella sticks mozzarella sticks mozzarella sticks mozzarella']","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,63.64,31.82,42.42,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'community scarf/blanket project', 'None', 'None']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'None', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,50.0,75.0,60.0,"['None', 'mini trampoline', 'on site medium, on site medium, ancestors, read your cards, spiritual reading', 'None', 'None', 'None', 'free calendar', 'nightclub, secluded VIP area, dancefloor, open section, ladies, take their', 'None', 'None', 'parakeet paradise']","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,100.0,100.0,100.0,"['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,95.65,81.48,88.0,"['events, hypnosis show, drag show, karaoke night, Qui', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,93.1,96.43,94.74,"['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,100.0,80.49,89.19,"['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection,', 'yoga, henna artist']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,90.91,90.91,90.91,"['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,77.27,80.95,79.07,"['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz', 'outreach program, meal sponsorship program', 'None']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
10,80.0,80.0,80.0,"['petting zoo, rooster, goat, pigs,', 'their tour, 10 dollar fresh day tour, free tour, their museum, Clydesdale', 'tips, hikes, activities, golf course', 'scratch off lottery machine, keno, computer nascar style racing, computer football', 'capoiera/zumba studio', 'parklands, Goose Creek Park, playground', 'lottery tickets/scratchers', 'None', 'peacocks, long public dock', 'None', 'Casinos, concert, AVA amphitheater']","['petting zoo, rooster, goat, pigs, cutest little piglet', 'their tour, 10 dollar fresh day tour, free tour, their museum, Clydesdales horses', 'tips, hikes, activities, golf course', 'scratch off lottery machine, keno, computer nascar style racing, computer football', 'capoiera/zumba studio', 'parklands, Goose Creek Park, playground', 'lottery tickets/scratchers', 'None', 'peacocks, long public dock', 'None', 'Casinos, concert, AVA amphitheater']"
